 041338,7/8/2015	21:54:45,21:59:49,305,WHEEL,280,00.0,7.6,7.4,000
 041643,7/8/2015	21:59:50,22:00:24,35,SLNGE,024,34.3,8.1,19.1,024
 041678,7/8/2015	22:00:25,22:00:46,22,TFODA,0,86.4,8.3,25.9,035
 041700,7/8/2015	22:00:47,22:00:55,9,SLNGE,011,88.9,11.1,19.3,011
 041709,7/8/2015	22:00:56,22:08:36,461,WHEEL,431,00.0,8.2,10.1,000
 042170,7/8/2015	22:08:37,22:09:00,24,SLNGE,030,75.0,7.5,16.2,030
 042194,7/8/2015	22:09:01,22:13:49,289,WHEEL,268,00.0,8.3,13.6,000
 042483,7/8/2015	22:13:50,22:14:17,28,SLNGE,049,60.7,8.4,18.0,049
 042511,7/8/2015	22:14:18,22:15:55,98,WHEEL,098,00.0,10.3,12.3,000
 042609,7/8/2015	22:15:56,22:16:17,22,SLNGE,022,50.0,9.6,13.7,022
 042631,7/8/2015	22:16:18,22:22:26,369,WHEEL,358,00.0,8.2,8.2,000
 043000,7/8/2015	22:22:27,22:22:50,24,SLNGE,019,62.5,7.9,8.2,019
 043024,7/8/2015	22:22:51,22:22:58,8,TFODA,0,00.0,8.9,20.0,011
 043032,7/8/2015	22:22:59,22:23:22,24,DWATR,0.013,58.3,7.3,26.1,025
 043056,7/8/2015	22:23:23,22:23:34,12,SLNGE,027,66.7,4.2,25.7,027
 043068,7/8/2015	22:23:35,22:23:39,5,THOME,0,00.0,6.8,12.3,000
 043073,7/8/2015	22:23:40,22:23:53,14,SLNGE,012,28.6,7.4,14.8,012
 043087,7/8/2015	22:23:54,22:24:21,28,TWATR,0,75.0,5.2,23.2,018
 043115,7/8/2015	22:24:22,22:25:05,44,SLNGE,086,56.8,4.9,12.9,086
 043159,7/8/2015	22:25:06,22:25:38,33,WHEEL,030,00.0,9.0,11.8,000
 043192,7/8/2015	22:25:39,22:26:27,49,SLNGE,000,08.2,9.0,11.7,000
 043241,7/8/2015	22:26:28,22:28:37,130,IHOME,13.686,00.0,6.5,10.3,000
 043371,7/8/2015	22:28:38,22:28:47,10,SLNGE,002,10.0,6.7,10.2,002
 043381,7/8/2015	22:28:48,22:33:43,296,WHEEL,295,00.0,8.3,8.1,000
 043677,7/8/2015	22:33:44,22:34:05,22,SLNGE,033,59.1,7.8,15.3,033
 043699,7/8/2015	22:34:06,22:35:07,62,WHEEL,051,00.0,9.2,18.1,000
 043761,7/8/2015	22:35:08,22:35:10,3,TFODA,0,33.3,9.4,14.8,012
 043764,7/8/2015	22:35:11,22:35:34,24,SLNGE,007,25.0,9.6,13.5,007
 043788,7/8/2015	22:35:35,22:37:27,113,WHEEL,139,00.0,9.5,12.5,000
 043901,7/8/2015	22:37:28,22:37:29,2,TFODA,0,100.0,8.0,13.5,010
 043903,7/8/2015	22:37:30,22:38:05,36,WHEEL,139,00.0,9.9,11.7,000
 043939,7/8/2015	22:38:06,22:38:33,28,SLNGE,021,50.0,9.4,12.4,021
 043967,7/8/2015	22:38:34,22:42:37,244,TFODA,0,83.2,12.9,20.1,009
 044211,7/8/2015	22:42:38,22:42:59,22,SLNGE,020,40.9,7.6,18.3,020
